Epoch,Tr Loss,Tr F1,Val Loss,Val Macro-F1,Val AUC
1,0.3512,0.736,0.142,0.9546,0.9322
2,0.113,0.951,0.0809,0.9812,0.9472
3,0.0728,0.9708,0.0743,0.9858,0.9477
4,0.0717,0.9736,0.0716,0.9879,0.9502
5,0.0584,0.9785,0.0723,0.9884,0.952
6,0.0531,0.9817,0.073,0.9897,0.9527
7,0.0485,0.9825,0.0725,0.9901,0.9522
8,0.0452,0.9844,0.0741,0.9907,0.9501
9,0.0349,0.9878,0.0731,0.9911,0.9513
10,0.0399,0.9859,0.0731,0.9911,0.9507
11,0.0337,0.9877,0.0724,0.9918,0.9526
12,0.0357,0.9888,0.0733,0.9916,0.9532
13,0.0338,0.988,0.0773,0.9925,0.9512
14,0.0271,0.9908,0.078,0.9922,0.949
15,0.0368,0.9886,0.0779,0.9923,0.9493
16,0.0292,0.9892,0.076,0.9925,0.9508
17,0.0291,0.9905,0.0791,0.9924,0.951
18,0.0281,0.9912,0.0779,0.9922,0.9507
19,0.0299,0.9894,0.0765,0.9918,0.9501
20,0.0308,0.9896,0.0785,0.992,0.9499
