Class,Precision,Recall,F1,Support
polyp-pedunculated,0.97,1.0,0.98,3709
polyp-sessile,0.97,1.0,0.98,3709
polyp-hyperplastic,0.97,1.0,0.98,3709
esophagitis,0.95,1.0,0.97,3635
gastritis,0.95,1.0,0.97,3635
ulcerative-colitis,0.95,1.0,0.97,3635
crohns-disease,0.95,1.0,0.97,3635
barretts-esophagus,0.95,1.0,0.97,3635
gastric-ulcer,0.95,1.0,0.97,3635
duodenal-ulcer,0.95,1.0,0.97,3635
erosion,0.95,1.0,0.97,3635
hemorrhoid,0.94,1.0,0.97,3586
diverticulum,0.94,1.0,0.97,3586
normal-cecum,0.92,1.0,0.96,3524
normal-pylorus,0.92,1.0,0.96,3524
normal-z-line,0.92,1.0,0.96,3524
ileocecal-valve,0.92,1.0,0.96,3524
retroflex-rectum,0.92,1.0,0.96,3524
retroflex-stomach,0.92,1.0,0.96,3524
dyed-lifted-polyp,0.93,1.0,0.96,3546
dyed-resection-margins,0.93,1.0,0.96,3546
foreign-body,0.89,1.0,0.94,3387
instrument,0.96,1.0,0.98,3681
